dyad#,GOAL,A_Evasive,Forthcoming,Auditor Inquiry,Client Re pon e,Auditor Followup,Client response,Auditor Followup,Client response,Auditor Followup,Client response
4,0,1,6,I6 I6 I1 I5 I6 I6 I6 I6 I6 I6 I4 I6 I6 I6 I6 I6 I6,NO R11 R15P R17 R19 R1P R7 R9P R15P R15P R19,  I6,R15P R4 R7 R5P R6 R1 R13 R14,,,,
5,1,4,5,I1 I4 I6 ,R1 R15P R11,,,,,,
6,1,2,7,I1 I6 I2 I3 I6 I7 I5 ,NO R1P R2 R6 R19 R2 R19 R19,,,,,,
16,0,1,5,I6 I3 I1 I6 I6 I6  ,R19 R1P R19 R19 R19 ,,,,,,
22,0,7,4,I6 I6 I6 I5 I6,NO   R19 R19 R7 R17 R13,,,,,,
25,1,5,3,I1 I2 I7 I5 I3 I4 I6 I5  ,N R1P R19 R13P R19 R19 R19 R19,  I6,R19,,,,
26,0,2,4,I1 I6,R1 R2 ,I1,R5 R7 R3 R6 R15P R18 R13, ,,,
27,0,2,5,I5 I6 I1 I6 I2 I3 I6 I6 I4 I6 I6  ,N R1 R2 R4 R5 R6 R7P R19 R19 R12 R15P  ,,,,,,
28,0,4,5,I5 I6   ,NO R19, ,,  I6 I6,R1 R2 R3 R14 R19 R9,I6 I3,R19 
29,0,1,6,I3 I6 I1 I6,R11 R1 R4 R5,,,,,,
31,1,4,5,I6,R19,  I1 I6 I6 I4,R1P R17P R19 R2 R8,  I6 I6 I6 I6 ,R19 R16P R18P R19,I6,R19
32,0,4,1,I3 I6,R12 R11   ,  I1   ,R19,,,,
33,0,4,4,I1 I2 I6 I6 I6 I7  ,R1 R5 R7 R6P R11 R10 R19 R13 R15 R14P,,,,,,
35,0,4,4,I6 I6 I1 I2 I4,R1 R4 R3 R15 R18 R16 R6 R13,,,,,,
36,0,5,3,I1 I5,NO R1 R5 R6,  I4,R15P R18  ,,,,
37,1,2,5,I1 I2 I3 I4,R1 R5 R2 R3P R19 R3 R19 R15P R19 R19,  I7 I5 I6,N R19 R19 R19 R19,  I6,R19,,
40,0,7,7,I1 I2 I6 I3 I4,R5 R1 R4 R11 R2 R7 R15 R18 R19,,,,,,
41,1,3,4,I5 I6 I6 I6 I6 I6 I6 I6 I6,PO R12 R13 R19 R19 R19 R19 R19 R19,  I6,R19 R13 , ,,,
44,1,4,3,I1 I6 I2 I3  ,R19 R19 R11 R10 ,  I6 I6 I6 I7   ,R19 R5 R15 ,  I6,,,
45,1,5,3,I5 I1 I6 I3 I2,NO R1 R19 R15P R13 R10 R1 R7 R6,  I6 I6 I6 ,R11 R12 R19, ,,,
46,1,2,5,I6 I1 I4  ,R19 R1 R15 R18p R17 R16 R13,  I6 I6,R19 R19,,,,
47,0,4,4,I1 I2 I3 I4 I5,NO   R1 R3 R6 R19 R15P R18, ,,,,,
49,1,2,4,I1 I3,R19 R1P R19 R8,  I6 I4,R2 R1 R19 R7 R19,  I2,R19,,
50,0,1,5,I5 I6 I6 I6 I4 ,NO R3 R8P R15P R19 R19 R2 R17 R9 R19,,,,,,
52,1,3,5,I4 I5 I6 I7,NO R16P R18 R7P, R18,R1 R19,  I6,R11,,
54,1,4,5,I6 I3 I6 ,R19 R1 R5 R9 R11 R12 R13 R14,,,,,,
55,1,1,6,I1 I6 I6 I3 I2 I6 I5,NO R3 R5 R1 R12 R19 R15 R13, ,,,,,
56,1,4,4,I5 I1 I2 I3 I4,NO R1 R5 R7 R15 R19 ,,,,,,
57,0,4,4,I5 I6,PO R19 R15P,  I6,R19,,,,
60,0,4,4,I6 I6 I3 I6 I1  ,R19 R19 R1P R5 R7 R6,,,,,,
61,1,4,7,I1 I6,R3 R19,,,,,,
62,1,3,4,I1 I2 I3 I4 I6,R1 R5 R4 R7 R12 R11 R10 R2 R15 R16 R17 R18 R13 R14 R6 R9  , ,,,,,
63,0,6,2,I3 I1 I5 I7 I6  ,NO R19 R1 R5 R8 R15P R13,  I6 I6 I6 I6,R8 R19 R15 R19, ,,,
65,0,3,4,I5 I6,N,  I6,R17P R18, ,,,
67,0,4,3,I6,R19,I6 I6 I6 I6,R19 R19 R19 R12 R15P R18 S,,,,
68,1,5,6,I3 I7 I5 I2,NO R19 R1 R6P R7P R19,  I4,R2 R8 R15 R18 R16, ,,,
69,0,4,3,I1 I2 I5,N R1 R6 R4 R5 R17 R18 R11 R9P R17 R11,,,,,,
70,0,1,6,I2 I6, ,  I6 I6,R1 R15P R8 R13 R6 R9,  I6 I6 I6 I6 I6,R19,,
71,1,2,5,I5 I1 ,NO R1P R7 R6 R15P R13,  I6 I6 I4 ,R6 ,,,,
73,1,2,4,I1 I6 I2 I3 I4 I5 I7  ,NO R5P R3 R1P R2 R19 R19 R19 R19,,,,,,
75,0,2,5,I1 I4 I5 I6,NO R1 R5 R7 R17 R16 R8 R6 R18 R13 R14, R16,R12 R19,,,,
76,0,2,5,I6 I6 I5 I1 I6  ,NO R12 R11  R5 R1 R2 R3 R15 R17 R18 R16 R13 R14,,,,,,
77,1,5,5,I3 I6 I1 I2 I6,R19 R7 R1P R5 R6 R9 R15P R12 R11 R10,  I5 I2 I4 I6,NO  R3 R1P R9 R6 R15P R18 R13 R14 R16, ,,,
78,1,2,4,I6 I1 I6 I6 I6 I5 I6,NO R11 R19 R1 R2 R8 R15 R13 R19 R6 R9 R15 R19,  I6,,,,,
80,1,2,5,I1 I6 I6 I6 I6 I6 I6 I6  ,R1P R5 R6 R13 R15 R19 R11 R19 R19 R19 R19,,,,,,
81,0,2,3,I3 I6 I6 I6 I1 I2 I6,R12 R11 R14P R1P R9P R5 R17 R2 R15,,,,,,
82,0,4,5,I5 I1 I2 I3,N R11 R1P R19 R3 R19 R19,  I4,R15P R18 S,,,,
84,1,5,5,I5 I1,NO R1 R5P R3,  I2 I6 I6,R7 R11 R10 R6 R9 R15P R19,,,,
85,0,4,6,I6 I4 I1 I6,R19 R1 R5  ,  I6 I6  ,R19 R15P R13P R19 R9,,,,
91,0,3,5,I1 I2 I6 I4 I5,N R19 R6 R19 R19 R11P R10P R15P R18 R1P R2 R19 R19, ,,,,,
93,0,2,6,I3 I2 I5,NO   R12 R11 R10 R16 R19 R1 R5 R6 R3 R4 R1 R2 R8 R17 R15 R16 R14,,,,,,
94,1,4,6,I5 I6 I6,NO R1 R5 R7 R6 R17 R13 R9,  I6,R19, ,,,
